ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    A1536  9    4 
           (ERR-DIG)    Data digitizing error                     A1536  9    5 
SAMPLE     The target thickness was 300 to 3000 mu-g/cm2.         A1536  9    6 
STATUS     (CURVE) Fig.3                                          A1536  9    7 
HISTORY    (20160707C)                                            A1536  9    8 
ENDBIB               6          0                                 A1536  9    9 
COMMON               3          3                                 A1536  9   10 
EN         ANG-ERR-D  ERR-DIG                                     A1536  9   11 
MEV        ADEG       NO-DIM                                      A1536  9   12 
        4.0      0.592     0.0051                                 A1536  9   13 
ENDCOMMON            3          0                                 A1536  9   14 
DATA                 2         10                                 A1536  9   15 
ANG-CM     DATA                                                   A1536  9   16 
ADEG       NO-DIM                                                 A1536  9   17 
     19.988    -0.0847                                            A1536  9   18 
     29.269    -0.1210                                            A1536  9   19 
     37.930    -0.1574                                            A1536  9   20 
     47.212    -0.2240                                            A1536  9   21 
     52.779    -0.2179                                            A1536  9   22 
     60.820    -0.2178                                            A1536  9   23 
     69.479    -0.2117                                            A1536  9   24 
     73.189    -0.1996                                            A1536  9   25 
     80.609    -0.1511                                            A1536  9   26 
     85.549    -0.0116                                            A1536  9   27 
ENDDATA             12          0                                 A1536  9   28 
ENDSUBENT           27          0                                 A1536  999999 
SUBENT        A1536010   20160707                             A085A1536 10    1 
BIB                  5          6                                 A1536 10    2 
REACTION   (3-LI-6(D,A)2-HE-4,,POL/DA,,VAP)                       A1536 10    3 
ERR-ANALYS (ANG-ERR-D)  Angle digitizing error                    A1536 10    4 
           (ERR-DIG)    Data digitizing error                     A1536 10    5 
SAMPLE     The target thickness was 300 to 3000 mu-g/cm2.         A1536 10    6 
